Decile,N_Observations,N_Target,Churn_Rate,Precision,Lift,Cumulative_N_Target,Cumulative_N_Obs,Cumulative_Precision,Cumulative_Recall
1,50037,4813,0.09618882027299798,0.09618882027299798,6.395163433430773,4813,50037,0.09618882027299798,0.6395163433430774
2,50037,1360,0.027179886883706057,0.027179886883706057,1.8070688280627158,6173,100074,0.061684353578352016,0.820223226149349
3,50037,652,0.013030357535423786,0.013030357535423786,0.8663300558065373,6825,150111,0.045466354897375945,0.9068562317300026
4,50037,339,0.006774986509982613,0.006774986509982613,0.4504384799362211,7164,200148,0.03579351280052761,0.9519000797236248
5,50037,165,0.0032975598057437498,0.0032975598057437498,0.2192399681105501,7329,250185,0.029294322201570838,0.9738240765346797
6,50037,98,0.0019585506725023484,0.0019585506725023484,0.13021525378687218,7427,300222,0.02473836028005942,0.986845601913367
7,50037,55,0.001099186601914583,0.001099186601914583,0.07307998937018335,7482,350259,0.021361335468895876,0.9941536008503853
8,50037,25,0.0004996302735975378,0.0004996302735975378,0.03321817698644698,7507,400296,0.018753622319483583,0.99747541854903
9,50037,12,0.00023982253132681815,0.00023982253132681815,0.01594472495349455,7519,450333,0.01669653345413283,0.9990698910443795
10,50037,7,0.0001398964766073106,0.0001398964766073106,0.009301089556205155,7526,500370,0.015040869756380278,1.0
